State,County_name,FIPS,Population,RUCC_2013,Confirmed_90d,case_per_1000_pop
Alabama,Autauga County,01001,54571,2,1068,19.570834325924025
Alabama,Baldwin County,01003,182265,3,3916,21.48520012070337
Alabama,Barbour County,01005,27457,6,464,16.89915140037149
Alabama,Bibb County,01007,22915,1,443,19.33231507746018
Alabama,Blount County,01009,57322,1,918,16.014793621995047
Alabama,Bullock County,01011,10914,6,324,29.686641011544808
Alabama,Butler County,01013,20947,6,411,19.62094810712751
Alabama,Calhoun County,01015,118572,3,2071,17.46618088587525
Alabama,Chambers County,01017,34215,6,507,14.818062253397633
Alabama,Cherokee County,01019,25989,6,299,11.504867443918581
Alabama,Chilton County,01021,43643,1,883,20.232339665009277
Alabama,Choctaw County,01023,13859,9,163,11.76131033985136
Alabama,Clarke County,01025,25833,7,758,29.34231409437541
Alabama,Clay County,01027,13932,9,302,21.676715475165086
Alabama,Cleburne County,01029,14972,8,179,11.95565054768902
Alabama,Coffee County,01031,49948,4,685,13.714262833346682
Alabama,Colbert County,01033,54428,3,1203,22.102594252958035
Alabama,Conecuh County,01035,13228,7,393,29.709706682794074
Alabama,Coosa County,01037,11539,8,70,6.06638356876679
Alabama,Covington County,01039,37765,6,723,19.14471071097577
Alabama,Crenshaw County,01041,13906,8,300,21.57342154465698
Alabama,Cullman County,01043,80406,4,1261,15.68290923562918
Alabama,Dale County,01045,50251,4,873,17.372788601221867
Alabama,Dallas County,01047,43820,4,1140,26.01551802829758
Alabama,DeKalb County,01049,71109,6,1783,25.074181889774852
Alabama,Elmore County,01051,79303,2,1611,20.314489994073362
Alabama,Escambia County,01053,38319,6,1133,29.56757744200005
Alabama,Etowah County,01055,104430,3,2330,22.31159628459255
Alabama,Fayette County,01057,17241,6,261,15.138333043326954
Alabama,Franklin County,01059,31704,6,930,29.333838001514007
Alabama,Geneva County,01061,26790,3,327,12.206047032474803
Alabama,Greene County,01063,9045,8,180,19.90049751243781
Alabama,Hale County,01065,15760,3,362,22.96954314720812
Alabama,Henry County,01067,17302,3,238,13.75563518668362
Alabama,Houston County,01069,101547,3,1557,15.332801559868829
Alabama,Jackson County,01071,53227,6,1160,21.79345069231781
Alabama,Jefferson County,01073,658466,1,13395,20.342735995480403
Alabama,Lamar County,01075,14564,8,243,16.684976654765173
Alabama,Lauderdale County,01077,92709,3,1212,13.073164417694075
Alabama,Lawrence County,01079,34339,3,384,11.182620344215032
Alabama,Lee County,01081,140247,3,2491,17.761520745541794
Alabama,Limestone County,01083,82782,2,1497,18.083641371312602
Alabama,Lowndes County,01085,11299,2,352,31.15319939817683
Alabama,Macon County,01087,21452,6,306,14.264404251351856
Alabama,Madison County,01089,334811,2,5721,17.087252210948865
Alabama,Marengo County,01091,21027,7,458,21.781518999381746
Alabama,Marion County,01093,30776,7,570,18.52092539641279
Alabama,Marshall County,01095,93019,4,2754,29.606854513593994
Alabama,Mobile County,01097,412992,2,9587,23.213524717185805
Alabama,Monroe County,01099,23068,7,402,17.426738338824343
Alabama,Montgomery County,01101,229363,2,5919,25.806254714143083
Alabama,Morgan County,01103,119490,3,2472,20.68792367562139
Alabama,Perry County,01105,10591,8,436,41.167028609196485
Alabama,Pickens County,01107,19746,3,400,20.257267294641952
Alabama,Pike County,01109,32899,6,611,18.571993069698166
Alabama,Randolph County,01111,22913,6,331,14.445947715270806
Alabama,Russell County,01113,52947,2,1340,25.30832719511965
Alabama,St. Clair County,01115,83593,1,1459,17.45361453710239
Alabama,Shelby County,01117,195085,1,3255,16.6850347284517
Alabama,Sumter County,01119,13763,8,173,12.569933880694617
Alabama,Talladega County,01121,82291,4,1115,13.54947685652137
Alabama,Tallapoosa County,01123,41616,6,488,11.726259131103422
Alabama,Tuscaloosa County,01125,194656,3,4216,21.658721025809633
Alabama,Walker County,01127,67023,1,1432,21.365799800068633
Alabama,Washington County,01129,17581,8,424,24.11694442864456
Alabama,Wilcox County,01131,11670,9,332,28.449014567266495
Alabama,Winston County,01133,24484,6,434,17.72586178728966
Arizona,Apache County,04001,71518,6,1832,25.615928857070948
Arizona,Cochise County,04003,131346,3,1733,13.194158938985579
Arizona,Coconino County,04005,134421,3,2146,15.964767409854113
Arizona,Gila County,04007,53597,4,1065,19.870515140772806
Arizona,Graham County,04009,37220,7,674,18.108543793659322
Arizona,Greenlee County,04011,8437,7,54,6.400379281735214
Arizona,La Paz County,04012,20489,6,428,20.88925765044658
Arizona,Mohave County,04015,200186,3,3183,15.900212802094051
Arizona,Navajo County,04017,107449,4,3713,34.55592885927277
Arizona,Pima County,04019,980263,2,18711,19.087734618158596
Arizona,Pinal County,04021,375770,1,8598,22.881017643771457
Arizona,Santa Cruz County,04023,47420,4,2421,51.05440742302826
Arizona,Yavapai County,04025,211033,3,1981,9.387157458786067
Arizona,Yuma County,04027,195751,3,11160,57.0112030079029
Arkansas,Arkansas County,05001,19019,6,268,14.091171985908828
Arkansas,Ashley County,05003,21853,7,367,16.79403285590079
Arkansas,Baxter County,05005,41513,7,118,2.8424830775901526
Arkansas,Benton County,05007,221339,2,4678,21.135001061719805
Arkansas,Boone County,05009,36903,7,295,7.993930032788662
Arkansas,Bradley County,05011,11508,7,257,22.332290580465763
Arkansas,Calhoun County,05013,5368,9,23,4.284649776453056
Arkansas,Carroll County,05015,27446,6,424,15.448517088100271
Arkansas,Chicot County,05017,11800,7,933,79.0677966101695
Arkansas,Clark County,05019,22995,7,183,7.958251793868233
Arkansas,Clay County,05021,16083,7,166,10.321457439532425
Arkansas,Cleburne County,05023,25970,6,180,6.9310743165190605
Arkansas,Cleveland County,05025,8689,3,115,13.235124870525953
Arkansas,Columbia County,05027,24552,7,263,10.711958292603454
Arkansas,Conway County,05029,21273,6,182,8.55544587035209
Arkansas,Craighead County,05031,96443,3,1534,15.905768173947305
Arkansas,Crawford County,05033,61948,2,859,13.866468651126752
Arkansas,Crittenden County,05035,50902,1,1252,24.59628305371105
Arkansas,Cross County,05037,17870,6,207,11.583659764969223
Arkansas,Dallas County,05039,8116,6,108,13.30704780680138
Arkansas,Desha County,05041,13008,6,213,16.374538745387454
Arkansas,Drew County,05043,18509,6,279,15.073747906423902
Arkansas,Faulkner County,05045,113237,2,1508,13.317201974619604
Arkansas,Franklin County,05047,18125,6,152,8.386206896551723
Arkansas,Fulton County,05049,12245,9,58,4.736627194773377
Arkansas,Garland County,05051,96024,3,1232,12.830125801882863
Arkansas,Grant County,05053,17853,2,159,8.906066207360107
Arkansas,Greene County,05055,42090,4,539,12.805892135899263
Arkansas,Hempstead County,05057,22609,6,307,13.57866336414702
Arkansas,Hot Spring County,05059,32923,6,1661,50.45105245573004
Arkansas,Howard County,05061,13789,6,387,28.0658495902531
Arkansas,Independence County,05063,36647,7,700,19.101154255464294
Arkansas,Izard County,05065,13696,9,72,5.257009345794392
Arkansas,Jackson County,05067,17997,6,179,9.946102128132466
Arkansas,Jefferson County,05069,77435,3,1485,19.177374572221865
Arkansas,Johnson County,05071,25540,7,706,27.64291307752545
